お神酒	おみき
一寸	ちょっと
一日	ついたち
一昨年	おととし
一昨日	おととい
一昨昨日	さきおととい
七夕	たなばた
下手	へた
不味	まず
九十九	つくも
乳母	うば	おんば
二十	はた	はたち
二十	はたち
二十歳	はたち
五月	さつき
五月雨	さみだれ
今年	ことし
今日	きょう
今朝	けさ
伯母	おば
伯父	おじ
八百	やお
十八番	おはこ
十六夜	いざよい
叔母	おば
叔父	おじ
可惜	あたら
可惜身命	あたらしんみょう
可笑	おか
台詞	せりふ
吹雪	ふぶき
団扇	うちわ
土産	みやげ
土筆	つくし
大人	おとな
大和	やまと
大蛇	おろち
太刀	たち
女将	おかみ
女形	おやま
女郎花	おみなえし
如月	きさらぎ
小豆	あずき
山葵	わさび
山車	だし
師走	しわす	しはす
弥明後日	やのあさって
弥生	やよい
従兄弟	いとこ
心天	ところてん
心太	ところてん
息吹	いぶき
明後日	あさって
明日	あす	あした
明明後日	しあさって
昨日	きのう
時雨	しぐれ
晦日	つごもり	みそか
曾孫	ひまご
松明	たいまつ
果物	くだもの
桜桃	さくらんぼ
梅雨	つゆ
欠伸	あくび
母家	おもや
母屋	おもや
水母	くらげ
河岸	かし
流石	さすが
流鏑馬	やぶさめ
浴衣	ゆかた
海士	あま
海女	あま
海月	くらげ
海老	えび
灰汁	あく
為替	かわせ
烏賊	いか
無花果	いちじく
玄孫	やしゃご
玩具	おもちゃ
田舎	いなか
疾風	はやて
百合	ゆり
皐月	さつき
相応	ふさわ
相撲	すもう
眼鏡	めがね
祖母	ばあ
祖父	じい
祝詞	のりと
神楽	かぐら
科白	せりふ
竹刀	しない
紅葉	もみじ
美人局	つつもたせ
美味	おい
老舗	しにせ
蚊帳	かや
足袋	たび
銀杏	いちょう
鍛冶	かじ
鏑流馬	やぶさめ
陽炎	かげろう
雪崩	なだれ